"","x"
"640",11
"641",21
"642",9
"643",9
"644",5
"645",7
"646",3
"647",5
"648",5
"649",4
"650",5
"651",3
"652",5
"653",7
"654",7
"655",10
"656",2
"657",10
"658",13
"659",5
"660",6
"661",19
"662",6
"663",6
"664",3
"665",0
"666",21
"667",8
"668",6
"669",6
"670",9
"671",9
"672",14
"673",13
"674",6
"675",5
"676",2
"677",9
"678",6
"679",5
"680",4
"681",5
"682",9
"683",4
"684",4
"685",7
"686",5
"687",7
"688",6
"689",2
"690",12
"691",5
"692",7
"693",8
"694",7
"695",6
"696",5
"697",9
"698",12
"699",2
"700",0
"701",6
"702",1
"703",3
"704",9
"705",8
"706",5
"707",10
"708",5
"709",6
"710",5
"711",3
"712",5
"713",3
"714",12
"715",4
"716",7
"717",1
"718",4
"719",2
"720",5
"721",7
"722",15
"723",6
"724",4
"725",15
"726",6
"727",12
"728",4
"729",2
"730",5
"731",6
"732",3
"733",5
"734",3
"735",5
"736",3
"737",6
"738",11
"739",7
"740",9
"741",12
"742",8
"743",3
"744",4
"745",9
"746",1
"747",6
"748",7
"749",2
"750",6
"751",1
"752",3
"753",4
"754",16
"755",5
"756",7
"757",4
"758",0
"759",4
"760",3
"761",5
"762",0
"763",7
"764",1
"765",8
"766",29
"767",2
"768",3
"769",2
"770",17
"771",6
"772",5
"773",7
"774",2
"775",7
"776",1
"777",7
"778",6
"779",3
"780",6
"781",6
"782",10
"783",5
"784",1
"785",6
"786",4
"787",5
"788",2
"789",10
"790",6
"791",5
"792",5
"793",3
"794",15
"795",2
"796",8
"797",11
"798",8
"799",0
"800",5
"801",3
"802",0
"803",4
"804",6
"805",3
"806",3
"807",6
"808",3
"809",5
"810",3
"811",4
"812",8
"813",7
"814",1
"815",8
"816",4
"817",9
"818",1
"819",11
"820",4
"821",6
"822",6
"823",4
"824",9
"825",5
"826",3
"827",7
"828",4
"829",6
"830",12
"831",4
"832",11
"833",6
"834",6
"835",7
"836",6
"837",3
"838",3
"839",4
"840",0
"841",15
"842",6
"843",6
"844",5
"845",4
"846",7
"847",6
"848",6
"849",1
"850",14
"851",13
"852",6
"853",5
"854",2
"855",1
"856",3
"857",6
"858",3
"859",1
"860",5
"861",6
"862",7
"863",3
"864",6
"865",2
"866",2
"867",1
"868",4
"869",4
"870",1
"871",7
"872",7
"873",6
"874",5
"875",3
"876",3
"877",0
"878",10
"879",7
"880",3
"881",1
"882",8
"883",2
"884",4
"885",4
"886",4
"887",3
"888",6
"889",2
"890",6
"891",8
"892",6
"893",5
"894",9
"895",9
"896",11
"897",3
"898",2
"899",2
"900",3
"901",4
"902",4
"903",2
"904",4
"905",0
"906",2
"907",9
"908",2
"909",7
"910",3
"911",2
"912",4
"913",9
"914",2
"915",2
"916",2
"917",3
"918",9
"919",6
"920",4
"921",10
"922",5
"923",0
"924",2
"925",3
"926",6
"927",5
"928",4
"929",6
"930",2
"931",2
"932",4
"933",1
"934",11
"935",4
"936",3
"937",3
"938",3
"939",3
"940",7
"941",4
"942",3
"943",3
"944",5
"945",0
"946",0
"947",2
"948",4
"949",14
"950",1
